龙肝麟脯	lóng gān lín fǔ
枝附叶着	zhī  fù  yiè  zhuó
吱哩哇啦	zhī  lī  wā  lā
支床迭屋	zhī  chuáng  dié  wū
郑人实履	zhèng  rén  shí  lǚ
正明公道	zhèng  míng  gōng  dào
正儿巴经	zhèng  ér  bā  jīng
整顿干坤	zhěng  dùn  gàn  kūn
铮铮铁汉	zhēng  zhēng  tiě  hàn
枕麹藉糟	zhěn  qū  jiè  zāo
枕干之雠	zhěn  gàn  zhī  chóu
真脏实犯	zhēn  zāng  shí  fàn
真赃真贼	zhēn  zāng  zhēn  zéi
针头线尾	zhēn  tóu  xiàn  wěi
辙乱旂靡	zhé  luàn  qí  mǐ
折而族之	zhe  er  zu  zi
昭如日星	zhāo  rú  rì  xīng
杖履纵横	zhàng  lǚ  zòng  héng
彰明昭着	zhāng  míng  zhāo  zhe
彰明较着	zhāng  míng  jiào  zhù
张良借箸	zhāng  liáng  jiè  zhù
张皇其事	zhāng  huáng  qí  shì
张慌失措	zhāng  huāng  shī  cuò
张灯结采	zhāng  dēng  jié  cǎi
张大其辞	zhāng  dà  qí  cí
湛恩汪濊	zhàn  ēn  wāng  hún
崭露头脚	zhǎn  lù  tóu  jiǎo
詀言詀语	zhān  yán  zhān  yǔ
摘艳薰香	zhāi  yàn  xūn  xiāng
摘艳熏香	zhāi  yàn  xūn  xiāng
乍暖还寒	zhà  nuǎn  hái  hán
乍毛变色	zhà  máo  biàn  sè
曾不惨然	zeng  bu  chan  ran
齰舌缄唇	zé  shé  jiān  chún
泽被后世	zé  bèi  hòu  shì
躁言丑句	zào  yán  chǒu  jù
造谋布穽	zào  móu  bù  yán
造端讬始	zào  duān  tuō  shǐ
造次行事	zào  cì  xíng  shì
早占勿药	zǎo  zhān  wù  yào
凿坯而遁	záo  pī  ér  dùn
凿空之论	záo  kōng  zhī  lùn
凿坏以遁	záo  pī  yǐ  dùn
凿坏而遁	záo  pī  ér  dùn
脏污狼藉	zāng  wū  láng  jí
攒零合整	cuán  líng  hé  zhěng
在色之戒	zài  sè  zhī  jiè
再做道理	zài  zuò  dào  lǐ
再作道理	zài  zuò  dào  lǐ
再接再历	zài  jiē  zài  lì
再不其然	zài  bù  qí  rán
杂乱无序	zá  luàn  wú  xù
晕晕沉沉	yūn  yūn  chén  chén
云雾迷蒙	yún  wù  mí  méng
云霓之望	yún  ní  zhī  wàng
云堦月地	yún  jiē  yuè  dì
云朝雨暮	yún  zhāo  yǔ  mù
远亲近邻	yuǎn  qīn  jìn  lín
沅茝醴兰	yuán  chǎi  lǐ  lán
元奸巨恶	yuán  jiān  jù  è
渊鱼丛雀	yuān  yú  cóng  què
渊亭山立	yuān  tíng  shān  lì
冤沉海底	yuān  chén  hǎi  dǐ
鬻矛誉楯	yù  máo  yù  dùn
誉不绝口	yù  bù  jué  kǒu
遇水迭桥	yù  shuǐ  dié  qiáo
寓意深远	yù  yì  shēn  yuǎn
欲速反迟	yù  sù  fǎn  chí
欲取姑予	yù  qǔ  gū  yǔ
欲得而甘心	yù  dé  ér  gān  xīn
欲谁归罪	yu  shui  gui  zhui
郁郁沉沉	yù  yù  chén  chén
郁郁不得志	yù  yù  bù  dé  zhì
驭凤骖鹤	yù  fèng  cān  hè
玉碎香残	yù  suì  xiāng  cán
玉佩琼琚	yù  pèi  qióng  jū
玉漏犹滴	yu  lou  you  di
禹惜寸阴	yǔ  xī  cùn  yīn
舆论哗然	yú  lùn  huá  rán
榆木圪垯	yú  mù  gē  dá
逾墙钻蠙	yú  qiáng  zuàn  pín
逾墙窥蠙	yú  qiáng  kuī  pín
鱼与熊掌	yú  yǔ  xióng  zhǎng
鱼游燋釜	yú  yóu  zhuó  fǔ
鱼游濠上	yú  yóu  háo  shàng
鱼县鸟窜	yú  xiàn  niǎo  cuàn
鱼尾雁行	yú  wěi  yàn  xíng
鱼水深情	yú  shuǐ  shēn  qíng
鱼目混珎	yú  mù  hùn  zhū
鱼龙曼延	yú  lóng  màn  yán
鱼帛狐声	yú  bó  hú  shēng
于呼哀哉	yú  hū  āi  zāi
右翦左屠	yòu  jiǎn  zuǒ  tú
有嘴没心	yǒu  zuǐ  méi  xīn
有则改之，无则嘉勉	yǒu  zé  gǎi  zhī，wú  zé  jiā  miǎn
有以善处	yǒu  yǐ  shàn  chǔ
有心有意	yǒu  xīn  yǒu  yì
有头有脑	yǒu  tóu  yǒu  nǎo
有头无脑	yǒu  tóu  wú  nǎo
有三有俩	yǒu  sān  yǒu  liǎng
有脚书橱	yǒu  jiǎo  shū  chú
有蠙可乘	yǒu  bīn  kě  chéng
游戏人世	yóu  xì  rén  shì
油渍麻花	yóu  zì  má  huā
油壁香车	yóu  bì  xiāng  chē
由近及远	yóu  jìn  jí  yuǎn
尤红殢翠	yóu  hóng  tì  cuì
优贤飏历	yōu  xián  yáng  lì
永劫沉轮	yǒng  jié  chén  lún
永劫沉沦	yǒng  jié  chén  lún
永垂竹帛	yǒng  chuí  zhú  bó
雍荣雅步	yōng  róng  yǎ  bù
雍荣闲雅	yōng  róng  xián  yǎ
雍荣华贵	yōng  róng  huá  guì
拥篲救火	yōng  huǐ  jiù  huǒ
赢金一经	yíng  jīn  yī  jīng
赢奸卖俏	yíng  jiān  mài  qiào
嬴奸买俏	yíng  jiān  mǎi  qiào
蝇声蛙躁	yíng  shēng  wā  zào
蝇附骥尾而致千里	yíng  fù  jì  wěi  ér  zhì  qiān  lǐ
迎新弃旧	yíng  xīn  qì  jiù
迎神赛会	yíng  shén  sài  huì
鹰挚狼食	yīng  zhì  láng  shí
鹰犬之才	yīng  quǎn  zhī  cái
鹰击长空	yīng  jī  cháng  kōng
鹰撮霆击	yīng  cuō  tíng  jī
膺图受箓	yīng  tú  shòu  lù
膺箓受图	yīng  lù  shòu  tú
鹦鹉学语	yīng  wǔ  xué  yǔ
莺吟燕儛	yīng  yín  yàn  sāi
莺期燕约	yīng  qī  yàn  yuē
