龙肝麟脯	lóng gān lín fǔ
书声朗朗	shū shēng lǎng lǎng
书声琅琅	shū shēng lǎng lǎng
书生之见	shū shēng zhī jiàn
书缺有间	shū　quē　yǒu　jiàn
书缺简脱	shū quē jiǎn tuō
书囊无底	shū náng wú dǐ
书空咄咄	shū kōng duō duō
书剑飘零	shū jiàn piāo líng
书记翩翩	shū jì piān piān
书画卯酉	shū huà mǎo yǒu
书富五车	shū fù wǔ chē
书符咒水	shū fú zhòu shuǐ
书读五车	shū dú wǔ chē
书呆子	shū dāi zǐ
书不释手	shū bù shì shǒu
书不尽意	shū bù jìn yì
书不尽言	shū　bù　jìn　yán
瘦羊博士	shòu yáng bó shì
瘦童羸马	shòu tóng léi mǎ
瘦骨穷骸	shòu gǔ qióng hái
瘦骨零丁	shòu gǔ líng dīng
瘦骨伶仃	shòu gǔ líng dīng
瘦骨嶙峋	shòu gǔ lín xún
瘦骨嶙嶙	shòu gǔ lín lín
瘦骨棱棱	shòu gǔ léng léng
授职惟贤	shòu zhí wéi xián
授业解惑	shòu yè jiě huò
授手援溺	shòu shǒu yuán nì
授人以柄	shòu rén yǐ bǐng
授人口实	shòu rén kǒu shí
授柄于人	shòu bǐng yú rén
售胝足之药	shòu zhī zú zhī yào
兽心人面	shòu xīn rén miàn
兽穷则啮	shòu qióng zé niè
兽困则噬	shòu kùn zé shì
兽聚鸟散	shòu jù niǎo sàn
兽迒鸟迹	shòu hàn niǎo jì
狩岳巡方	shòu yuè xún fāng
受制于人	shòu zhì yú rén
受之有愧	shòu zhī yǒu kuì
受之无愧	shòu zhī wú kuì
受益匪浅	shòu yì fěi qiǎn
受怕担惊	shòu pà dān jīng
受夹板罪	shòu jiā bǎn zuì
受夹板气	shòu jiā bǎn qì
受宠若惊	shòu chǒng ruò jīng
寿终正寝	shòu zhōng zhèng qǐn
寿元无量	shòu yuán wú liàng
寿山福海	shòu shān fú hǎi
寿满天年	shòu mǎn tiān nián
寿陵失步	shòu líng shī bù
寿陵匍匐	shòu líng pú fú
寿不压职	shòu bù yā zhí
首足异处	shǒu zú yì chǔ
首战告捷	shǒu zhàn gào jié
首下尻高	shǒu xià kāo gāo
首尾相援	shǒu wěi xiāng yuán
首尾相应	shǒu wěi xiāng yìng
首尾相卫	shǒu wěi xiāng wèi
首尾相连	shǒu wěi xiāng lián
首尾相救	shǒu wěi xiāng jiù
首尾相继	shǒu wěi xiāng jì
首尾相赴	shǒu wěi xiāng fù
首尾受敌	shǒu wěi shòu dí
首尾两端	shǒu wěi liǎng duān
首尾狼狈	shǒu wěi láng bèi
首尾夹攻	shǒu wěi jiā gōng
首尾贯通	shǒu wěi guàn tōng
首尾乖互	shǒu wěi guāi hù
首尾共济	shǒu wěi gòng jì
首尾不顾	shǒu wěi bù gù
首鼠模棱	shǒu shǔ mó léng
首鼠两端	shǒu shǔ liǎng duān
首施两端	shǒu shī liǎng duān
首身分离	shǒu shēn fēn lí
首善之区	shǒu shàn zhī qū
首善之地	shǒu shàn zhī dì
首如飞蓬	shǒu rú fēi péng
首屈一指	shǒu qū yī zhǐ
首丘之望	shǒu qiū zhī wàng
首丘之思	shǒu qiū zhī sī
首丘之情	shǒu qiū zhī qíng
首丘之念	shǒu qiū zhī niàn
首丘夙愿	shǒu qiū sù yuàn
首当其冲	shǒu dāng qí chōng
首唱义举	shǒu chàng yì jǔ
首唱义兵	shǒu chàng yì bīng
首倡义举	shǒu chàng yì jǔ
守着鼻子摸着腮	shǒu zhe bí zǐ mō zhe sāi
守株缘木	shǒu zhū yuán mù
守株待兔	shǒu zhū dài tù
守正不移	shǒu zhèng bù yí
守正不桡	shǒu zhèng bù ráo
守正不挠	shǒu zhèng bù náo
守正不回	shǒu zhèng bù huí
守正不阿	shǒu zhèng bù ē
守约施博	shǒu yuē shī bó
守先待后	shǒu xiān dài hòu
守望相助	shǒu wàng xiāng zhù
守土有责	shǒu tǔ yǒu zé
守死善道	shǒu sǐ shàn dào
守身若玉	shǒu shēn ruò yù
守身如玉	shǒu shēn rú yù
守如处女，出如脱兔	shǒu rú chǔ nǚ，chū rú tuō tù
守阙抱残	shǒu què bào cán
守缺抱残	shǒu quē bào cán
守瓶缄口	shǒu píng jiān kǒu
守口如瓶	shǒu kǒu rú píng
守经据古	shǒu jīng jù gǔ
守经达权	shǒu jīng dá quán
守节不移	shǒu jié bù yí
守节不回	shǒu jié bù huí
守分安常	shǒu fēn ān cháng
守法奉公	shǒu fǎ fèng gōng
守道安贫	shǒu dào ān pín
守财奴	shǒu cái nú
手足重茧	shǒu zú chóng jiǎn
手足之情	shǒu zú zhī qíng
手足异处	shǒu zú yì chǔ
手足无措	shǒu zú wú cuò
手足失措	shǒu zú shī cuò
手足胼胝	shǒu zú pián zhī
手指脚划	shǒu zhǐ jiǎo huá
手泽之遗	shǒu zé zhī yí
手眼通天	shǒu yǎn tōng tiān
手下留情	shǒu xià liú qíng
手舞足蹈	shǒu wǔ zú dǎo
手无缚鸡之力	shǒu wú fù jī zhī lì
手无寸铁	shǒu wú cùn tiě
手无寸刃	shǒu wú cùn rèn
手头不便	shǒu tóu bù biàn
手起刀落	shǒu qǐ dāo luò
手胼足胝	shǒu pián zú zhī
手帕姊妹	shǒu pà zǐ mèi
手忙脚乱	shǒu máng jiǎo luàn
手零脚碎	shǒu líng jiǎo suì
手脚无措	shǒu jiǎo wú cuò
手脚干净	shǒu jiǎo gàn jìng
手疾眼快	shǒu jí yǎn kuài
手急眼快	shǒu jí yǎn kuài
手挥目送	shǒu huī mù sòng
手慌脚忙	shǒu huāng jiǎo máng
手慌脚乱	shǒu huāng jiǎo luàn
手滑心慈	shǒu huá xīn cí
手高眼低	shǒu gāo yǎn dī
手高手低	shǒu gāo shǒu dī
手到擒来	shǒu dào qín lái
手到拈来	shǒu dào niān lái
手到拿来	shǒu dào ná lái
手到病除	shǒu dào bìng chú
手不应心	shǒu bù yīng xīn
手不停挥	shǒu bù tíng huī
手不释书	shǒu bù shì shū
手不释卷	shǒu bù shì juàn
手不辍卷	shǒu bù chuò juàn
收缘结果	shōu yuán jié guǒ
收园结果	shōu yuán jié guǒ
收因种果	shōu yīn zhǒng guǒ
收因结果	shōu yīn jié guǒ
收视返听	shōu shì fǎn tīng
收视反听	shōu shì fǎn tīng
收买人心	shōu mǎi rén xīn
收锣罢鼓	shōu luó bà gǔ
收离聚散	shōu lí jù sàn
收离纠散	shōu lí jiū sàn
收回成命	shōu huí chéng mìng
收合余烬	shōu hé yú jìn
收刀检卦	shōu dāo jiǎn guà
收成弃败	shōu chéng qì bài
收兵回营	shōu bīng huí yíng
狧糠及米	shì kāng jí mǐ
螫手解腕	shì shǒu jǐe wǎn
噬指弃薪	shì zhǐ qì xīn
噬脐无及	shì qí wú jí
噬脐莫及	shì qí mò jí
噬脐何及	shì qí hé jí
誓以皦日	shì yǐ wéi rì
誓无二志	shì wú èr zhì
誓无二心	shì wú èr xīn
誓同生死	shì tóng shēng sǐ
誓天指日	shì tiān zhǐ rì
誓天断发	shì tiān duàn fā
誓死不渝	shì sǐ bù yú
誓死不屈	shì sǐ bù qū
誓死不贰	shì sǐ bù èr
誓死不二	shì sǐ bù èr
誓死不从	shì sǐ bù cóng
誓山盟海	shì shān méng hǎi
誓日指天	shì rì zhǐ tiān
誓海盟山	shì hǎi méng shān
誓不两立	shì bù liǎng lì
誓不罢休	shì bù bà xiū
嗜杀成性	shì shā chéng xìng
嗜痂之癖	shì jiā zhī pǐ
嗜痂成癖	shì jiā chéng pǐ
释知遗形	shì shì yí xíng
释生取义	shì shēng qǔ yì
释回增美	shì huí zēng měi
释缚焚榇	shì fù fén chèn
释车下走	shì chē xià zǒu
逝者如斯	shì zhě rú sī
舐痈吮痔	shì yōng shǔn zhì
舐皮论骨	shì pí lùn gǔ
舐糠及米	shì kāng jí mǐ
舐犊之私	shì dú zhī sī
舐犊之念	shì dú zhī niàn
舐犊之爱	shì dú zhī ài
舐犊情深	shì dú qíng shēn
适者生存	shì zhě shēng cún
适以相成	shì yǐ xiāng chéng
适性忘虑	shì xìng wàng lǜ
适性任情	shì xìng rèn qíng
适心娱目	shì xīn yú mù
适俗随时	shì sú suí shí
适时应务	shì shí yīng wù
适如其分	shì rú qí fēn
适情任欲	shì qíng rèn yù
适情率意	shì qíng lǜ yì
适可而止	shì kě ér zhǐ
适居其反	shì jū qí fǎn
适逢其时	shì féng qí shí
适逢其会	shì féng qí huì
适得其反	shì dé qí fǎn
适当其时	shì dāng qí shí
适当其冲	shì dāng qí chōng
适材适所	shì cái shì suǒ
是是非非	shì shì fēi fēi
是可忍，孰不可容	shì kě rěn，shú bù kě róng
是可忍，孰不可忍	shì kě rěn，shú bù kě rěn
是古非今	shì gǔ fēi jīn
是非只为多开口	shì fēi zhī wèi duō kāi kǒu
是非之心	shì fēi zhī xīn
是非之地	shì fēi zhī dì
是非人我	shì fēi rén wǒ
是非曲直	shì fēi qū zhí
是非轻重	shì fēi qīng zhòng
是非口舌	shì fēi kǒu shé
是非混淆	shì fēi hùn xiáo
是非分明	shì fēi fēn míng
是非颠倒	shì fēi diān dǎo
是非得失	shì fēi dé shī
是非不分	shì fēi bù fēn
拭目以俟	shì mù yǐ sì
拭目以观	shì mù yǐ guān
拭目以待	shì mù yǐ dài
拭目倾耳	shì mù qīng ěr
拭目而观	shì mù ér guān
拭目而待	shì mù ér dài
拭面容言	shì miàn róng yán
恃勇轻敌	shì yǒng qīng dí
恃强争霸	shì qiáng zhēng bà
恃强倚宠	shì qiáng yǐ chǒng
恃强欺弱	shì qiáng qī ruò
恃强凌弱	shì qiáng líng ruò
恃才扬己	shì cái yáng jǐ
恃才矜己	shì cái jīn jǐ
恃才放旷	shì cái fàng kuàng
恃才傲物	shì cái ào wù
室徒四壁	shì tú sì bì
室如悬罄	shì rú xuán qìng
室如悬磬	shì rú xuán qìng
室怒市色	shì nù shì sè
室迩人远	shì ěr rén yuǎn
室迩人遥	shì ěr rén yáo
室迩人遐	shì ěr rén xiá
室不崇坛	shì bù chóng tán
饰智矜愚	shì zhì jīn yú
饰情矫行	shì qíng jiǎo xíng
饰怪装奇	shì guài zhuāng qí
饰垢掩疵	shì gòu yǎn cī
饰非养过	shì fēi yǎng guò
饰非掩过	shì fēi yǎn guò
饰非掩丑	shì fēi yǎn chǒu
饰非文过	shì fēi wén guò
饰非遂过	shì fēi suí guò
饰非拒谏	shì fēi jù jiàn
饰词矫情	shì cí jiǎo qíng
试金石	shì jīn shí
试才录用	shì cái lù yòng
视之不见，听之不闻	shì zhī bù jiàn，tīng zhī bù wén
视远步高	shì yuǎn bù gāo
视有若无	shì yǒu ruò wú
视有如无	shì yǒu rú wú
视险若夷	shì xiǎn ruò yí
视险如夷	shì xiǎn rú yí
视下如伤	shì xià rú shāng
视为知己	shì wéi zhī jǐ
视为畏途	shì wéi wèi tú
视为寇仇	shì wéi kòu chóu
视为儿戏	shì wéi ér xì
视为等闲	shì wéi děng xián
视微知著	shì wēi zhī zhuó
视同一律	shì tóng yī lǜ
视同秦越	shì tóng qín yuè
视同陌路	shì tóng mò lù
视同路人	shì tóng lù rén
视同拱璧	shì tóng gǒng bì
视同儿戏	shì tóng ér xì
视死犹归	shì sǐ yóu guī
视死若生	shì sǐ ruò shēng
视死若归	shì sǐ ruò guī
视死如饴	shì sǐ rú yí
视死如生	shì sǐ rú shēng
视死如归	shì sǐ rú guī
视若无睹	shì ruò wú dǔ
视若路人	shì ruò lù rén
视若儿戏	shì ruò ér xì
视如珍宝	shì rú zhēn bǎo
视如土芥	shì rú tǔ jiè
视如陌路	shì rú mò lù
视如寇仇	shì rú kòu chóu
视如拱璧	shì rú gǒng bì
视如粪土	shì rú fèn tǔ
视如草芥	shì rú cǎo jiè
视如敝屣	shì rú bì xǐ
视日如年	shì rì rú nián
视人犹芥	shì rén yóu jiè
视人如子	shì rén rú zǐ
视人如伤	shì rén rú shāng
视民如子	shì mín rú zǐ
视民如伤	shì mín rú shāng
视而弗见，听而弗闻	shì ér fú jiàn，tīng ér fú wén
视而不见，听而不闻	shì ér bù jiàn，tīng ér bù wén
视丹如绿	shì dān rú lǜ
视财如命	shì cái rú mìng
视白成黑	shì bái chéng hēi
势在必行	shì zài bì xíng
势欲熏心	shì yù xūn xīn
势焰熏天	shì yàn xūn tiān
势若脱兔	shì ruò tuō tù
势如破竹	shì rú pò zhú
势如劈竹	shì rú pī zhú
势穷力屈	shì qióng lì qū
势穷力尽	shì qióng lì jìn
势穷力竭	shì qióng lì jié
势穷力蹙	shì qióng lì cù
势倾天下	shì qīng tiān xià
势倾朝野	shì qīng cháo yě
势利眼	shì lì yǎn
势力之交	shì lì zhī jiāo
势钧力敌	shì jūn lì dí
势均力敌	shì jūn lì dí
势合形离	shì hé xíng lí
势成骑虎	shì chéng qí hǔ
势不容缓	shì bù róng huǎn
势不两全	shì bù liǎng quán
势不两立	shì bù liǎng lì
势不两存	shì bù liǎng cún
势不可为	shì bù kě wéi
势不可遏	shì bù kě è
势不可挡	shì bú kě dǎng
势不可当	shì bù kě dāng
势不并立	shì bù bìng lì
侍执巾栉	shì zhí jīn zhì
事在萧墙	shì zài xiāo qiáng
事在人为	shì zài rén wéi
事在必行	shì zài bì xíng
事与愿违	shì yú yuàn wéi
事与心违	shì yǔ xīn wéi
事以密成	shì yǐ mì chéng
事无三不成	shì wú sān bù chéng
事无巨细	shì wú jù xì
事无二成	shì wú èr chéng
事无大小	shì wú dà xiǎo
事无常师	shì wú cháng shī
事无不可对人言	shì wú bù kě duì rén yán
事危累卵	shì wēi lèi luǎn
事往日迁	shì wǎng rì qiān
事实胜于雄辩	shì shí shèng yú xióng biàn
事生肘腋	shì shēng zhǒu yè
事齐事楚	shì qí shì chǔ
事款则圆	shì kuǎn zé yuán
事宽即圆	shì kuān jí yuán
事捷功倍	shì jié gōng bèi
事急无君子	shì jí wú jūn zǐ
事缓则圆	shì huǎn zé yuán
事后诸葛亮	shì hòu zhū gé liàng
事核言直	shì hé yán zhí
事过情迁	shì guò qíng qiān
事过境迁	shì guò jìng qiān
事过景迁	shì guò jǐng qiān
事关重大	shì guān zhòng dà
事出有因	shì chū yǒu yīn
事出意外	shì chū yì wài
事出无奈	shì chū wú nài
事出不意	shì chū bù yì
事不有余	shì bù yǒu yú
事不宜迟	shù bù yí chí
事不师古	shì bù shī gǔ
事不过三	shì bù guò sān
事不关己，高高挂起	shì bù guān jǐ，gāo gāo guà qǐ
事必躬亲	shì bì gōng qīn
事倍功半	shì bèi gōng bàn
事半功倍	shì bàn gōng bèi
事半功百	shì bàn gōng bǎi
事败垂成	shì bài chuí chéng
示贬于褒	shì biǎn yú bāo
市怨结祸	shì yuàn jié huò
市无二价	shì wú èr jià
市民文学	shì mín wén xué
市井之徒	shì jǐng zhī tú
市井之臣	shì jǐng zhī chén
市井小人	shì jǐng xiǎo rén
市井无赖	shì jǐng wú lài
市恩嫁怨	shì ēn jià yuàn
市道之交	shì dào zhī jiāo
市不二价	shì bù èr jià
仕女班头	shì nǚ bān tóu
世异时移	shì yì shí yí
世外桃源	shì wài táo yuán
世态炎凉	shì tài yán liáng
世态人情	shì tai rén qíng
世俗之见	shì sú zhī jiàn
世事纷扰	shì shì fēn rǎo
世世生生	shì shì shēng shēng
世世代代	shì shì dài dài
世上无难事，只怕有心人	shì shàng wú nán shì，zhǐ pà yǒu xīn rén
世人皆知	shì rén jiē zhī
世扰俗乱	shì rǎo sú luàn
世情如纸	shì qíng rú zhǐ
世路荣枯	shì lù róng kū
世济其美	shì jì qí měi
世风日下	shì fēng rì xià
世道人心	shì dào rén xīn
世道人情	shì dào rén qíng
世道浇漓	shì dào jiāo lí
世代簪缨	shì dài zān yīng
世代书香	shì dài shū xiāng
士为知己者死	shì wèi zhī jǐ zhě sǐ
士死知己	shì sǐ zhī jǐ
士绅名流	shì shēn míng liú
士农工商	shì nóng gōng shāng
士可杀不可辱	shì kě shā bù kě rǔ
士别三日，刮目相待	shì bié sān rì，guā mù xiāng dài
士别三日，当刮目相待	shì　bié　sān　rì，dāng　guā mù xiāng　dài
士饱马腾	shì bǎo mǎ téng
屎屁直流	shǐ pì zhí liú
屎盆子	shǐ pén zǐ
屎流屁滚	shǐ liú pì gǔn
屎滚尿流	shǐ gǔn niào liú
始作俑者	shǐ zuò yǒng zhě
始终一贯	shǐ zhōng yī guàn
始终若一	shǐ zhōng ruò yī
始终如一	shǐ zhōng rú yī
始终不渝	shǐ zhōng bù yú
始终不易	shǐ zhōng bù yì
始终不懈	shǐ zhōng bù xiè
始末缘由	shǐ mò yuán yóu
始末原由	shǐ mò yuán yóu
始乱终弃	shǐ luàn zhōng qì
始料所及	shǐ liào suǒ jí
使嘴使舌	shǐ zuǐ shǐ shé
使智使勇	shǐ zhì shǐ yǒng
使羊将狼	shǐ yáng jiàng láng
使性掼气	shǐ xìng guàn qì
使性谤气	shǐ xìng bàng qì
使性傍气	shǐ xìng bàng qì
使心作幸	shǐ xīn zuò xìng
使心用幸	shǐ xīn yòng xìng
使心用腹	shǐ xīn yòng fù
使心别气	shǐ xīn bié qì
使贤任能	shǐ xián rèn néng
使蚊负山	shǐ wén fù shān
使贪使愚	shǐ tān shǐ yú
使枪弄棒	shǐ qiāng nòng bàng
使民以时	shǐ mín yǐ shí
使酒仗气	shǐ jiǔ zhàng qì
使酒骂座	shǐ jiǔ mà zuò
使酒骂坐	shǐ jiǔ mà zuò
使乖弄巧	shǐ guāi nòng qiǎo
使功不如使过	shǐ gōng bù rú shǐ guò
使臂使指	shǐ bì shǐ zhǐ
使绊子	shǐ bàn zǐ
豕突狼奔	shǐ tū láng bēn
豕食丐衣	shǐ shí gài yī
豕交兽畜	shǐ jiāo shòu chù
豕虎传讹	shǐ hǔ chuán é
豕亥鱼鲁	shǐ hài yú lǔ
豕分蛇断	shǐ fēn shé duàn
豕而负涂	shǐ ér fù tú
豕窜狼逋	shǐ cuàn láng bū
矢忠不二	shǐ zhōng bù èr
矢志捐躯	shǐ zhì juān qū
矢志不渝	shǐ zhì bù yú
矢志不移	shǐ zhì bù yí
矢志不摇	shǐ zhì bù yáo
矢志不屈	shǐ zhì bù qū
矢在弦上，不得不发	shǐ zài xián shàng，bù dé bù fā
矢心不二	shǐ xīn bù èr
矢下如雨	shǐ xià rú yǔ
矢无虚发	shǐ wú xū fā
矢死无贰	shǐ sǐ wú èr
矢死不二	shǐ sǐ bù èr
矢石之难	shǐ shí zhī nán
矢石之间	shǐ shí zhī jiān
矢如雨下	shǐ rú yǔ xià
矢如雨集	shǐ rú yǔ jí
矢力同心	shǐ lì tóng xīn
矢口否认	shǐ kǒu fǒu rèn
矢口抵赖	shǐ kǒu dǐ lài
矢口猖言	shǐ kǒu chāng yán
矢尽兵穷	shǐ jìn bīng qióng
矢不虚发	shǐ bù xū fā
史鱼历节	shǐ yú lì jié
史鱼秉直	shǐ yú bǐng zhí
史无前例	shǐ wú qián lì
史策丹心	shǐ cè dān xīn
史不绝书	shǐ bù jué shū
食租衣税	shí zū yī shuì
食指众多	shí zhǐ zhòng duō
食指大动	shí zhǐ dà dòng
食之无味，弃之可惜	shí zhī wú wèi，qì zhī kě xī
食之无味，弃之不甘	shí zhī wú wèi，qì zhī bù gān
食玉炊桂	shí yù chuī guì
食鱼遇鲭	shí yú yù qīng
食言而肥	shí yán ér féi
食无求饱	shí wú qiú bǎo
食味方丈	shí wèi fāng zhàng
食为民天	shí wéi mín tiān
食荼卧棘	shí tú wò jí
食宿相兼	shí sù xiāng jiān
食生不化	shí shēng bù huà
食少事繁	shí shǎo shì fán
食少事烦	shí shǎo shì fán
食肉寝皮	shí ròu qǐn pí
食日万钱	shí rì wàn qián
食前方丈	shí qián fāng zhàng
食毛践土	shí máo jiàn tǔ
食马留肝	shí mǎ liú gān
食藿悬鹑	shí huò xuán chún
食骨在喉	shí gǔ zài hóu
食古如鲠	shí gǔ rú gěng
食古不化	shí gǔ bù huà
食甘寝宁	shí gān qǐn níng
食甘寝安	shí gān qǐn ān
食方于前	shí fāng yú qián
食而不化	shí ér bù huà
食淡衣粗	shí dàn yī cū
食不重味	shí bù chóng wèi
食不重肉	shí bù zhòng ròu
食不终味	shí bù zhōng wèi
食不知味	shí bù zhī wèi
食不厌精，脍不厌细	shí bù yàn jīng，kuài bù yàn xì
食不下咽	shí bù xià yàn
食不暇饱	shí bù xiá bǎo
食不求甘	shí bù qiú gān
食不求饱	shí bù qiú bǎo
食不念饱	shí bù niàn bǎo
食不累味	shí bù lèi wèi
食不兼味	shí bù jiān wèi
食不兼肉	shí bù jiān ròu
食不遑味	shí bù huáng wèi
食不糊口	shí bù hú kǒu
食不果腹	shí bù guǒ fù
食不二味	shí bù èr wèi
食不充口	shí bù chōng kǒu
食不充饥	shí bù chōng jī
食不充肠	shí bù chōng cháng
食辨劳薪	shí biàn láo xīn
食必方丈	shí bì fāng zhàng
食案方丈	shí àn fāng zhàng
蚀本生意	shí běn shēng yì
拾遗补阙	shí yí bǔ quē
拾人牙慧	shí rén yá huì
拾人唾余	shí rén tuò yú
拾人唾涕	shí rén tuò tì
拾人涕唾	shí rén tì tuò
拾金不昧	shí jīn bù mèi
拾带重还	shí dài zhòng hái
拾陈蹈故	shí chén dǎo gù
实至名归	shí zhì míng guī
实与有力	shí yù yǒu lì
实心眼	shí xīn yǎn
实心实意	shí xīn shí yì
实事求是	shí shì qiú shì
实实在在	shí shí zài zài
实获我心	shí huò wǒ xīn
实话实说	shí huà shí shuō
实繁有徒	shí fán yǒu tú
实蕃有徒	shí fān yǒu tú
实打实	shí dǎ shí
实不相瞒	shí bù xiāng mán
实逼处此	shí bī chǔ cǐ
实报实销	shí bào shí xiāo
识字知书	shí zì zhī shū
识文谈字	shí wén tán zì
识文断字	shí wén duàn zì
识微知著	shí wēi zhī zhuó
识微见远	shí wēi jiàn yuǎn
识微见几	shí wēi jiàn jǐ
识途老马	shí tú lǎo mǎ
识涂老马	shí tú lǎo mǎ
识时务者为俊杰	shí shí wù zhě wéi jùn jié
识时通变	shí shí tōng biàn
识时达务	shí shí dá wù
识时达变	shí shí dá biàn
识明智审	shí míng zhì shěn
识昧高卑	shí mèi gāo bēi
识礼知书	shí lǐ zhī shū
识荆恨晚	shí jīng hèn wǎn
识二五而不知十	shí èr wǔ ér bù zhī shí
识多才广	shí duō cái guǎng
识大体，顾大局	shí dà tǐ，gù dà jú
识才尊贤	shí cái zūn xián
识变从宜	shí biàn cóng yí
时运亨通	shí yùn hēng tōng
时运不齐	shi yun bu qi
时运不济	shí yùn bù jì
时隐时现	shí yǐn shí xiàn
时隐时见	shí yǐn shí jiàn
时易世变	shí yì shì biàn
时异势殊	shí yì shì shū
时异事殊	shí yì shì shū
时移俗易	shí yí sú yì
时移势易	shí yí shì yì
时移势迁	shí yí shì qiān
时移世易	shí yí shì yì
时移世异	shí yí shì yì
时移世变	shí yí shì biàn
时无再来	shí wú zài lái
时望所归	shí wàng suǒ guī
时通运泰	shí tōng yùn tài
时谈物议	shí tán wù yì
时势造英雄	shí shì zào yīng xióng
时时刻刻	shí shí kè kè
时日曷丧	shí rì hé sàng
时清海宴	shí qīng hǎi yàn
时来运转	shí lái yùn zhuǎn
时来运旋	shí lái yùn xuán
时来运来	shí lái yùn lái
时亨运泰	shí hēng yùn tai
时和岁稔	shí hé suì rěn
时和岁丰	shí hé suì fēng
时和年丰	shí hé nián fēng
时过境迁	shí guò jìng qiān
时光似箭，日月如梭	shí guāng sì jiàn，rì yuè rú suō
时乖运拙	shí guāi yùn zhuō
时乖运蹇	shí guāi yùn jiǎn
时乖运乖	shí guāi yùn guāi
时乖运舛	shí guāi yùn chuǎn
时乖命蹇	shí guāi mìng jiǎn
时断时续	shí duàn shí xù
时绌举赢	shí chù jǔ yíng
时绌举盈	shí chù jǔ yíng
时不我与	shí bù wǒ yǔ
时不我待	shí bù wǒ dài
时不可失	shí bù kě shī
时不可逢	shí bù kě féng
石尤风	shi you feng
石心木肠	shí xīn mù cháng
石投大海	shí tóu dà hǎi
石室金匮	shí shì jīn kuì
石破天惊	shí pò tiān jīng
石泐海枯	shí lè hǎi kū
石烂江枯	shí làn jiāng kū
石烂海枯	shí làn hǎi kū
石枯松老	shí kū sōng lǎo
石火风烛	shí huǒ fēng zhú
石火风灯	shí huǒ fēng dēng
石火电光	shí huǒ diàn guāng
石崇斗奢	shí chóng dòu shē
石赤不夺	shí chì bù duó
石城汤池	shí chéng tāng shi
石沉大海	shí chén dà hǎi
什一之利	shí yī zhī lì
什袭珍藏	shí xí zhēn cáng
什袭以藏	shí xí yǐ cáng
什袭而藏	shí xī ér cáng
什伍东西	shí wǔ dōng xī
什围伍攻	shí wéi wǔ gōng
十字路头	shí zì lù tóu
十字路口	shí zì lù kǒu
十字街头	shí zì jiē tóu
十字街口	shí zì jiē kǒu
十字打开	shí zì dǎ kāi
十捉九着	shí zhuō jiǔ zhe
十转九空	shí zhuǎn jiǔ kōng
十指有长短	shí zhǐ yǒu cháng duǎn
十指连心	shí zhǐ lián xīn
十之八九	shí zhī bā jiǔ
十战十胜	shí zhàn shí shèng
十载寒窗	shí zǎi hán chuāng
十月怀胎	shí yuè huái tāi
十雨五风	shí yǔ wǔ fēng
十有八九	shí yǒu bā jiǔ
十羊九牧	shí yáng jiǔ mù
十行俱下	shí háng jù xià
十五个吊桶打水，七上八下	shí wǔ gè diào tǒng dǎ shuǐ，qī shàng bā xià
十五个吊桶打水，七上八落	shí wǔ gè diào tǒng dǎ shuǐ，qī shàng bā luò
十围五攻	shí wén wǔ gōng
十万火速	shí wàn huǒ sù
十万火急	shí wàn huǒ jí
十万八千里	shí wàn bā qiān lǐ
十死一生	shí sǐ yī shēng
十死九活	shí sǐ jiǔ huó
十死不问	shí sǐ bù wèn
十鼠争穴	shí shǔ zhēng xué
十鼠同穴	shí shǔ tóng xué
十手争指	shí shǒu zhēng zhǐ
十室之邑，必有忠信	shí shì zhī yì，bì yǒu zhōng xìn
十室之邑，必有忠士	shí shì zhī yì，bì yǒu zhōng shì
十室容贤	shí shì róng xián
十室九匮	shí shì jiǔ kuì
十室九空	shí shì jiǔ kōng
十世单传	shí shì dān chuán
十十五五	shí shí wǔ wǔ
十生九死	shí shēng jiǔ sǐ
十日之饮	shí rì zhī yǐn
十日一水，五日一石	shí rì yī shuǐ，wǔ rì yī shí
十日并出	shí rì bìng chū
十全十美	shí quán shí měi
十全大补	shí quán dà bǔ
十清九浊	shí qīng jiǔ zhuó
十亲九眷	shí qīn jiǔ juàn
十亲九故	shí qīn jiǔ gù
十年树木，百年树人	shí nián shù mù，bǎi nián shù rén
十年生聚，十年教训	shí nián shēng jù，shí nián jiào xùn
十年磨剑	shí nián mó jiàn
十年九不遇	shí nián jiǔ bù yù
十年寒窗	shí nián hán chuāng
十年读书	shí nián dú shū
十年窗下	shí nián chuāng xià
十拿十稳	shí ná shí wěn
十拿九稳	shí ná jiǔ wěn
十目所视，十手所指	shí mù suǒ shì，shí shǒu suǒ zhǐ
十磨九难	shí mó jiǔ nàn
十面埋伏	shí miàn mái fú
十米九糠	shí mǐ jiǔ kāng
十里洋场	shí lǐ yáng chǎng
十里无真言	shí lǐ wú zhēn yán
十里长亭	shí lǐ cháng tíng
十口相传	shí kǒu xiāng chuán
十拷九棒	shí kǎo jiǔ bàng
十浆五馈	shí jiāng wǔ kuì
十家锅灶九不同	shí jiā guō zào jiǔ bù tóng
十寒一暴	shí hán yī bào
十光五色	shí guāng wǔ sè
十夫楺椎	shí fū zhī zhuī
十夫桡椎	shí fū ráo zhuī
十风五雨	shí fēng wǔ yǔ
十发十中	shí fā shí zhōng
十二万分	shí èr wàn fēn
十二金牌	shí èr jīn pái
十二道金牌	shí èr dào jīn pái
十恶五逆	shí è wǔ nì
