财到光棍手,有去�踊赝�	不可靠 常事 常识 当然如此
六十日无宅基	赶搬场
买腌鲜鱼放生	不管死活
戏台下掉眼泪	替古人担忧
驼子跌跟斗	两头勿着实 两头不着实 两头不着落
骆驼下骡	怪种
坑缸里石头	又臭又硬
打虾公,买烟抽	水里来,火里去
掉片树叶怕碰头	胆小怕事
卖砖头砌窑	砖款砖用 专款专用
借钱不治病	自己跟自己过不去
打铁烤糊了裤裆	没看火色
新兴庙的菩萨	宜远不宜近
公公驮媳妇过河	出力不讨好
车轱辘断轴	滚了
大年初三贴春联	晚了
土地爷的拐杖	神道 神捣
羊羔跟水牛顶角	输定了 败得惨
大拇手指卷煎饼	自己吃自己 自吃自
寿星跳舞	老天真
鸡子赶鸭子	管过了界
一口吞下热红薯	难咽
留声机片	转着圆圈说
抱着琵琶进磨房	对牛弹琴
小孩儿耍菜刀	不是玩艺儿 不是玩意儿
寡妇见了夜壶哭	你比我强
一块肥肉藏在饭碗底	有人情显不出来
掉到海里的针	没处抓没处捞
犯风的灶火	倒烟
沙滩上撑船	进退两难
要乜贴背了个醋葫芦	穷酸
坟墓里起烟	鬼火乱冒
猴娃卖画张哩	卖不完就抓完了
赤膊跌进麦芒堆	浑身难受
桑拿房子里穿衣服	汗流浃背
驼子挑水	两头不着实
落地风扇转动	不断地摇头
电线杆子晒衣服	好大的架子
牛角挂把草	捎带不费力
茅缸上搓绳	绑死
二十七的月亮	有点盼头
卖糖稀的想盖大楼	熬着吧
癞蛤蟆鼓气	装相
深潭上打虾公	脱了裤来
哑巴嘴里插指头	掏不出话来
冷水��鸡	一毛不拔
包头镰刀	揽头宽
阉过的公牛	硬不起
猴儿上树	爬得快 老练
蝎子掉进了江里	浙江 蛰江
菩萨心肠	心善 大慈大悲
走了豺狼来了虎	一个更比一个凶 一个比一个恶
一拳头打破三床被子	过絮,过絮,再过絮
三个女人在一搭	像群鸭
拴在树桩上的叫驴	尽绕圈子 绕圈子 净绕圈子
木匠打墨线	照直进 照直绷 绷直 绷绷
玉娘峰上立暖壶	高水瓶 高水平
蜜蜂见了花儿	拼命往里钻
自行车挂飞轮	加快了
三九天光脑袋	大动脑筋 大冻脑筋
十字街贴广告	众所周知
心大肚子婆娘送月礼	礼还一礼
驴子推磨	走的老道 走的老道儿 走老道 跑不出这个圈 圆扯圆
隔着门缝儿瞧人	把人看扁
粥铺的买卖	热闹一早儿
破帆使风	不快
新兵打仗	初次上阵
要饭看丈母	穷孝顺
老裁缝做衣裳	不肥不瘦
才出锅的糍粑	酥软
半天空里掉下一条腿	不是凡脚 不是凡角
腊月萝卜满院滚	少窖 少教
一百只麻雀炒一碟子	一窝子小嘴
赤沟子坐砚瓦	墨透膛了 霉透膛了
过期的鸡蛋	臭在里面
半夜里的铺盖	没人理
船破偏遇顶头风	祸不单行
两亲家扎日子	看好
割了驴球敬神	驴也割死了,神也惹下了
莲蓬秆打人	丝情不断 私情不断
胡敬德炒米泡	黑人扒沙 吓人巴煞 黑人巴沙
小猫盖屎	瞎应付
老和尚吹笙	一气儿憋
西城楼上的孔明	嘴说不怕心里惊
坛子里放炮仗	闷声闷气
世上就一个便宜	让王花儿瞅了
老虎嘴边的胡须	谁敢去摸
干鱼里寻胆	难找
屎壳郎上饭桌	恶心 讨厌
灶王爷不吃豆	拿糖
